id,archivo,nombre
29,digesto/174-04.doc,174/04
28,digesto/173-04.DOC,ordenanza 173/04
27,digesto/172-04.doc,ordenanza 172/04
26,digesto/171-04.doc,ordenanza 171/04
25,digesto/169-04.doc,ordenanza 169/04
24,digesto/164-04.doc,ordenanza 164/04
23,digesto/163-04.doc,ordenanza 163/04
22,digesto/162-04.doc,162/04
21,digesto/161-04__c-anexo_sLPktUR.doc,161/04 c-anexo
20,digesto/161-04__c-anexo.doc,161/04 c-anexo
19,digesto/141-04_contralor_DsuzueD.doc,141/04 contralor
18,digesto/141-04_contralor.doc,141/04 cpmt
17,digesto/141-01.doc,141/01
16,digesto/136-04.doc,ordenanza 136/04
15,digesto/134-04.doc,ordenanza 134/04
14,digesto/133-04.doc,ordenanza 133/04
13,digesto/132-04.doc,Ordenanza n° 132/04
12,digesto/131-04.doc,ordenanza 131/04
11,digesto/128_-_04.doc,ordenanza 128/04
10,digesto/114-04_contadora.doc,114/04 contadora
9,digesto/103-04_Peledroti.doc,ORDENANZA 103/04
8,digesto/093-04_Emergencia_Habitacional.doc,93/04 emergencia habitacional
7,digesto/087-04.doc,ordenanza 87/04
6,digesto/014-04_Anexo_1_Tarifaria_y_Fiscal.doc,ordenanza 2004 anexo
5,digesto/014-04_Tarifaria_y_Fiscal.doc,20/04 TARIFARIA Y FISCAL
4,digesto/024-04.doc,ORDENANZA 24/04
3,digesto/049-04.doc,ordenanza 49/04
2,digesto/digesto_hasta_2001.doc,DIGESTO MUNICIPAL HASTA 2001
1,digesto/NORMAS_07-03.docx,normas 07/03
